{'loss': 1.2823, 'learning_rate': 1.9920798352605737e-05, 'epoch': 0.02, 'step': 500}
{'loss': 1.0188, 'learning_rate': 1.984159670521147e-05, 'epoch': 0.04, 'step': 1000}
{'loss': 0.918, 'learning_rate': 1.9762395057817204e-05, 'epoch': 0.06, 'step': 1500}
{'loss': 0.8996, 'learning_rate': 1.968319341042294e-05, 'epoch': 0.08, 'step': 2000}
{'loss': 0.8202, 'learning_rate': 1.9603991763028674e-05, 'epoch': 0.1, 'step': 2500}
{'loss': 0.8602, 'learning_rate': 1.9524790115634406e-05, 'epoch': 0.12, 'step': 3000}
{'loss': 0.8396, 'learning_rate': 1.944558846824014e-05, 'epoch': 0.14, 'step': 3500}
{'loss': 0.8208, 'learning_rate': 1.9366386820845877e-05, 'epoch': 0.16, 'step': 4000}
{'loss': 0.8678, 'learning_rate': 1.9287185173451612e-05, 'epoch': 0.18, 'step': 4500}
{'loss': 0.7868, 'learning_rate': 1.9207983526057344e-05, 'epoch': 0.2, 'step': 5000}
{'loss': 0.8267, 'learning_rate': 1.912878187866308e-05, 'epoch': 0.22, 'step': 5500}
{'loss': 0.7753, 'learning_rate': 1.904958023126881e-05, 'epoch': 0.24, 'step': 6000}
{'loss': 0.7755, 'learning_rate': 1.8970378583874546e-05, 'epoch': 0.26, 'step': 6500}
{'loss': 0.7856, 'learning_rate': 1.889117693648028e-05, 'epoch': 0.28, 'step': 7000}
{'loss': 0.8204, 'learning_rate': 1.8811975289086016e-05, 'epoch': 0.3, 'step': 7500}
{'loss': 0.8075, 'learning_rate': 1.8732773641691748e-05, 'epoch': 0.32, 'step': 8000}
{'loss': 0.7782, 'learning_rate': 1.8653571994297483e-05, 'epoch': 0.34, 'step': 8500}
{'loss': 0.7993, 'learning_rate': 1.8574370346903215e-05, 'epoch': 0.36, 'step': 9000}
{'loss': 0.785, 'learning_rate': 1.849516869950895e-05, 'epoch': 0.38, 'step': 9500}
{'loss': 0.7602, 'learning_rate': 1.8415967052114686e-05, 'epoch': 0.4, 'step': 10000}
{'loss': 0.7536, 'learning_rate': 1.833676540472042e-05, 'epoch': 0.42, 'step': 10500}
{'loss': 0.763, 'learning_rate': 1.8257563757326153e-05, 'epoch': 0.44, 'step': 11000}
