{'loss': 1.177, 'learning_rate': 1.984159670521147e-05, 'epoch': 0.04, 'step': 500}
{'loss': 0.9186, 'learning_rate': 1.968319341042294e-05, 'epoch': 0.08, 'step': 1000}
{'loss': 0.8261, 'learning_rate': 1.9524790115634406e-05, 'epoch': 0.12, 'step': 1500}
{'loss': 0.8177, 'learning_rate': 1.9366386820845877e-05, 'epoch': 0.16, 'step': 2000}
{'loss': 0.7788, 'learning_rate': 1.9207983526057344e-05, 'epoch': 0.2, 'step': 2500}
{'loss': 0.7519, 'learning_rate': 1.904958023126881e-05, 'epoch': 0.24, 'step': 3000}
{'loss': 0.7243, 'learning_rate': 1.889117693648028e-05, 'epoch': 0.28, 'step': 3500}
{'loss': 0.7431, 'learning_rate': 1.8732773641691748e-05, 'epoch': 0.32, 'step': 4000}
{'loss': 0.7297, 'learning_rate': 1.8574370346903215e-05, 'epoch': 0.36, 'step': 4500}
{'loss': 0.7061, 'learning_rate': 1.8415967052114686e-05, 'epoch': 0.4, 'step': 5000}
{'loss': 0.698, 'learning_rate': 1.8257563757326153e-05, 'epoch': 0.44, 'step': 5500}
{'loss': 0.7074, 'learning_rate': 1.8099160462537623e-05, 'epoch': 0.48, 'step': 6000}
{'loss': 0.6975, 'learning_rate': 1.794075716774909e-05, 'epoch': 0.51, 'step': 6500}
{'loss': 0.6943, 'learning_rate': 1.7782353872960557e-05, 'epoch': 0.55, 'step': 7000}
{'loss': 0.7045, 'learning_rate': 1.7623950578172028e-05, 'epoch': 0.59, 'step': 7500}
{'loss': 0.6764, 'learning_rate': 1.7465547283383495e-05, 'epoch': 0.63, 'step': 8000}
{'loss': 0.6722, 'learning_rate': 1.730714398859496e-05, 'epoch': 0.67, 'step': 8500}
{'loss': 0.6884, 'learning_rate': 1.7148740693806432e-05, 'epoch': 0.71, 'step': 9000}
{'loss': 0.6903, 'learning_rate': 1.69903373990179e-05, 'epoch': 0.75, 'step': 9500}
{'loss': 0.6854, 'learning_rate': 1.683193410422937e-05, 'epoch': 0.79, 'step': 10000}
{'loss': 0.6861, 'learning_rate': 1.667353080944084e-05, 'epoch': 0.83, 'step': 10500}
{'loss': 0.6894, 'learning_rate': 1.6515127514652307e-05, 'epoch': 0.87, 'step': 11000}
{'loss': 0.6754, 'learning_rate': 1.6356724219863774e-05, 'epoch': 0.91, 'step': 11500}
{'loss': 0.6918, 'learning_rate': 1.6198320925075244e-05, 'epoch': 0.95, 'step': 12000}
{'loss': 0.6746, 'learning_rate': 1.603991763028671e-05, 'epoch': 0.99, 'step': 12500}
{'eval_loss': 0.6546083688735962, 'eval_accuracy': 0.778547431856752, 'eval_precision': 0.7762465189891471, 'eval_recall': 0.778547431856752, 'eval_f1': 0.7757136063142371, 'eval_kappa': 0.7014269317598121, 'eval_runtime': 150.616, 'eval_samples_per_second': 191.699, 'eval_steps_per_second': 23.968, 'epoch': 1.0, 'step': 12626}
{'loss': 0.5694, 'learning_rate': 1.5881514335498182e-05, 'epoch': 1.03, 'step': 13000}
{'loss': 0.5509, 'learning_rate': 1.572311104070965e-05, 'epoch': 1.07, 'step': 13500}
{'loss': 0.5466, 'learning_rate': 1.5564707745921116e-05, 'epoch': 1.11, 'step': 14000}
{'loss': 0.5544, 'learning_rate': 1.5406304451132586e-05, 'epoch': 1.15, 'step': 14500}
{'loss': 0.566, 'learning_rate': 1.5247901156344053e-05, 'epoch': 1.19, 'step': 15000}
{'loss': 0.5773, 'learning_rate': 1.5089497861555522e-05, 'epoch': 1.23, 'step': 15500}
{'loss': 0.6056, 'learning_rate': 1.4931094566766991e-05, 'epoch': 1.27, 'step': 16000}
{'loss': 0.5532, 'learning_rate': 1.4772691271978458e-05, 'epoch': 1.31, 'step': 16500}
{'loss': 0.5764, 'learning_rate': 1.4614287977189927e-05, 'epoch': 1.35, 'step': 17000}
{'loss': 0.5499, 'learning_rate': 1.4455884682401395e-05, 'epoch': 1.39, 'step': 17500}
{'loss': 0.5695, 'learning_rate': 1.4297481387612864e-05, 'epoch': 1.43, 'step': 18000}
{'loss': 0.5823, 'learning_rate': 1.4139078092824333e-05, 'epoch': 1.47, 'step': 18500}
{'loss': 0.5329, 'learning_rate': 1.39806747980358e-05, 'epoch': 1.5, 'step': 19000}
{'loss': 0.5661, 'learning_rate': 1.3822271503247269e-05, 'epoch': 1.54, 'step': 19500}
{'loss': 0.5851, 'learning_rate': 1.3663868208458737e-05, 'epoch': 1.58, 'step': 20000}
{'loss': 0.5859, 'learning_rate': 1.3505464913670206e-05, 'epoch': 1.62, 'step': 20500}
{'loss': 0.5569, 'learning_rate': 1.3347061618881673e-05, 'epoch': 1.66, 'step': 21000}
{'loss': 0.5473, 'learning_rate': 1.3188658324093142e-05, 'epoch': 1.7, 'step': 21500}
{'loss': 0.5635, 'learning_rate': 1.303025502930461e-05, 'epoch': 1.74, 'step': 22000}
{'loss': 0.5848, 'learning_rate': 1.287185173451608e-05, 'epoch': 1.78, 'step': 22500}
{'loss': 0.5885, 'learning_rate': 1.2713448439727546e-05, 'epoch': 1.82, 'step': 23000}
{'loss': 0.5502, 'learning_rate': 1.2555045144939015e-05, 'epoch': 1.86, 'step': 23500}
{'loss': 0.5999, 'learning_rate': 1.2396641850150484e-05, 'epoch': 1.9, 'step': 24000}
{'loss': 0.5639, 'learning_rate': 1.2238238555361953e-05, 'epoch': 1.94, 'step': 24500}
{'loss': 0.5664, 'learning_rate': 1.207983526057342e-05, 'epoch': 1.98, 'step': 25000}
{'eval_loss': 0.7084277868270874, 'eval_accuracy': 0.7842274789595817, 'eval_precision': 0.7870631351341026, 'eval_recall': 0.7842274789595817, 'eval_f1': 0.7824161012799614, 'eval_kappa': 0.7102691347246439, 'eval_runtime': 152.0087, 'eval_samples_per_second': 189.943, 'eval_steps_per_second': 23.749, 'epoch': 2.0, 'step': 25252}
{'loss': 0.4751, 'learning_rate': 1.1921431965784888e-05, 'epoch': 2.02, 'step': 25500}
{'loss': 0.4208, 'learning_rate': 1.1763028670996357e-05, 'epoch': 2.06, 'step': 26000}
{'loss': 0.4563, 'learning_rate': 1.1604625376207826e-05, 'epoch': 2.1, 'step': 26500}
{'loss': 0.4513, 'learning_rate': 1.1446222081419293e-05, 'epoch': 2.14, 'step': 27000}
{'loss': 0.4385, 'learning_rate': 1.1287818786630762e-05, 'epoch': 2.18, 'step': 27500}
{'loss': 0.4493, 'learning_rate': 1.112941549184223e-05, 'epoch': 2.22, 'step': 28000}
{'loss': 0.4533, 'learning_rate': 1.0971012197053699e-05, 'epoch': 2.26, 'step': 28500}
{'loss': 0.4365, 'learning_rate': 1.0812608902265168e-05, 'epoch': 2.3, 'step': 29000}
