{'loss': 1.5614, 'learning_rate': 1.9960398392174724e-05, 'epoch': 0.01, 'step': 500}
{'loss': 1.2673, 'learning_rate': 1.9920796784349446e-05, 'epoch': 0.02, 'step': 1000}
{'loss': 1.2992, 'learning_rate': 1.988119517652417e-05, 'epoch': 0.03, 'step': 1500}
{'loss': 1.1991, 'learning_rate': 1.984159356869889e-05, 'epoch': 0.04, 'step': 2000}
{'loss': 1.3129, 'learning_rate': 1.9801991960873613e-05, 'epoch': 0.05, 'step': 2500}
{'loss': 1.2455, 'learning_rate': 1.9762390353048335e-05, 'epoch': 0.06, 'step': 3000}
{'loss': 1.185, 'learning_rate': 1.9722788745223057e-05, 'epoch': 0.07, 'step': 3500}
{'loss': 1.2117, 'learning_rate': 1.968318713739778e-05, 'epoch': 0.08, 'step': 4000}
{'loss': 1.2481, 'learning_rate': 1.9643585529572502e-05, 'epoch': 0.09, 'step': 4500}
{'loss': 1.1966, 'learning_rate': 1.9603983921747224e-05, 'epoch': 0.1, 'step': 5000}
{'loss': 1.2012, 'learning_rate': 1.9564382313921946e-05, 'epoch': 0.11, 'step': 5500}
{'loss': 1.138, 'learning_rate': 1.952478070609667e-05, 'epoch': 0.12, 'step': 6000}
{'loss': 1.1528, 'learning_rate': 1.948517909827139e-05, 'epoch': 0.13, 'step': 6500}
{'loss': 1.1302, 'learning_rate': 1.9445577490446116e-05, 'epoch': 0.14, 'step': 7000}
{'loss': 1.1111, 'learning_rate': 1.9405975882620835e-05, 'epoch': 0.15, 'step': 7500}
{'loss': 1.1396, 'learning_rate': 1.9366374274795557e-05, 'epoch': 0.16, 'step': 8000}
{'loss': 1.2655, 'learning_rate': 1.9326772666970283e-05, 'epoch': 0.17, 'step': 8500}
{'loss': 1.1342, 'learning_rate': 1.9287171059145002e-05, 'epoch': 0.18, 'step': 9000}
{'loss': 1.0246, 'learning_rate': 1.9247569451319724e-05, 'epoch': 0.19, 'step': 9500}
{'loss': 1.1806, 'learning_rate': 1.920796784349445e-05, 'epoch': 0.2, 'step': 10000}
{'loss': 1.1712, 'learning_rate': 1.916836623566917e-05, 'epoch': 0.21, 'step': 10500}
{'loss': 1.0438, 'learning_rate': 1.912876462784389e-05, 'epoch': 0.22, 'step': 11000}
{'loss': 1.0374, 'learning_rate': 1.9089163020018616e-05, 'epoch': 0.23, 'step': 11500}
{'loss': 1.0874, 'learning_rate': 1.9049561412193335e-05, 'epoch': 0.24, 'step': 12000}
{'loss': 1.1464, 'learning_rate': 1.9009959804368057e-05, 'epoch': 0.25, 'step': 12500}
{'loss': 1.0696, 'learning_rate': 1.8970358196542783e-05, 'epoch': 0.26, 'step': 13000}
{'loss': 0.9505, 'learning_rate': 1.8930756588717502e-05, 'epoch': 0.27, 'step': 13500}
{'loss': 1.0116, 'learning_rate': 1.8891154980892224e-05, 'epoch': 0.28, 'step': 14000}
{'loss': 1.0468, 'learning_rate': 1.885155337306695e-05, 'epoch': 0.29, 'step': 14500}
{'loss': 1.1196, 'learning_rate': 1.881195176524167e-05, 'epoch': 0.3, 'step': 15000}
{'loss': 1.0663, 'learning_rate': 1.877235015741639e-05, 'epoch': 0.31, 'step': 15500}
{'loss': 1.0019, 'learning_rate': 1.8732748549591116e-05, 'epoch': 0.32, 'step': 16000}
{'loss': 1.1987, 'learning_rate': 1.8693146941765835e-05, 'epoch': 0.33, 'step': 16500}
{'loss': 1.0079, 'learning_rate': 1.865354533394056e-05, 'epoch': 0.34, 'step': 17000}
{'loss': 1.1582, 'learning_rate': 1.8613943726115283e-05, 'epoch': 0.35, 'step': 17500}
{'loss': 1.0791, 'learning_rate': 1.8574342118290002e-05, 'epoch': 0.36, 'step': 18000}
{'loss': 1.0507, 'learning_rate': 1.8534740510464728e-05, 'epoch': 0.37, 'step': 18500}
{'loss': 1.0958, 'learning_rate': 1.849513890263945e-05, 'epoch': 0.38, 'step': 19000}
{'loss': 1.0225, 'learning_rate': 1.8455537294814172e-05, 'epoch': 0.39, 'step': 19500}
{'loss': 1.0784, 'learning_rate': 1.8415935686988894e-05, 'epoch': 0.4, 'step': 20000}
{'loss': 1.1167, 'learning_rate': 1.8376334079163616e-05, 'epoch': 0.41, 'step': 20500}
{'loss': 1.0876, 'learning_rate': 1.833673247133834e-05, 'epoch': 0.42, 'step': 21000}
{'loss': 0.9754, 'learning_rate': 1.829713086351306e-05, 'epoch': 0.43, 'step': 21500}
{'loss': 1.1337, 'learning_rate': 1.8257529255687783e-05, 'epoch': 0.44, 'step': 22000}
{'loss': 1.0121, 'learning_rate': 1.8217927647862505e-05, 'epoch': 0.45, 'step': 22500}
{'loss': 1.0769, 'learning_rate': 1.8178326040037228e-05, 'epoch': 0.46, 'step': 23000}
{'loss': 1.0366, 'learning_rate': 1.813872443221195e-05, 'epoch': 0.47, 'step': 23500}
{'loss': 1.0228, 'learning_rate': 1.8099122824386672e-05, 'epoch': 0.48, 'step': 24000}
{'loss': 1.0451, 'learning_rate': 1.8059521216561394e-05, 'epoch': 0.49, 'step': 24500}
{'loss': 1.0227, 'learning_rate': 1.8019919608736117e-05, 'epoch': 0.5, 'step': 25000}
{'loss': 0.9651, 'learning_rate': 1.798031800091084e-05, 'epoch': 0.5, 'step': 25500}
{'loss': 1.1018, 'learning_rate': 1.794071639308556e-05, 'epoch': 0.51, 'step': 26000}
{'loss': 0.9523, 'learning_rate': 1.7901114785260283e-05, 'epoch': 0.52, 'step': 26500}
{'loss': 0.95, 'learning_rate': 1.7861513177435005e-05, 'epoch': 0.53, 'step': 27000}
{'loss': 1.112, 'learning_rate': 1.7821911569609728e-05, 'epoch': 0.54, 'step': 27500}
{'loss': 1.0035, 'learning_rate': 1.778230996178445e-05, 'epoch': 0.55, 'step': 28000}
{'loss': 0.9983, 'learning_rate': 1.7742708353959172e-05, 'epoch': 0.56, 'step': 28500}
{'loss': 1.0854, 'learning_rate': 1.7703106746133894e-05, 'epoch': 0.57, 'step': 29000}
{'loss': 0.9696, 'learning_rate': 1.7663505138308617e-05, 'epoch': 0.58, 'step': 29500}
{'loss': 0.9931, 'learning_rate': 1.762390353048334e-05, 'epoch': 0.59, 'step': 30000}
{'loss': 0.9197, 'learning_rate': 1.758430192265806e-05, 'epoch': 0.6, 'step': 30500}
{'loss': 1.0011, 'learning_rate': 1.7544700314832783e-05, 'epoch': 0.61, 'step': 31000}
{'loss': 1.0841, 'learning_rate': 1.7505098707007506e-05, 'epoch': 0.62, 'step': 31500}
{'loss': 1.0603, 'learning_rate': 1.7465497099182228e-05, 'epoch': 0.63, 'step': 32000}
{'loss': 0.9529, 'learning_rate': 1.742589549135695e-05, 'epoch': 0.64, 'step': 32500}
{'loss': 1.0164, 'learning_rate': 1.7386293883531672e-05, 'epoch': 0.65, 'step': 33000}
{'loss': 0.9713, 'learning_rate': 1.7346692275706394e-05, 'epoch': 0.66, 'step': 33500}
{'loss': 1.1603, 'learning_rate': 1.7307090667881117e-05, 'epoch': 0.67, 'step': 34000}
{'loss': 0.9445, 'learning_rate': 1.726748906005584e-05, 'epoch': 0.68, 'step': 34500}
{'loss': 1.0699, 'learning_rate': 1.722788745223056e-05, 'epoch': 0.69, 'step': 35000}
{'loss': 1.0315, 'learning_rate': 1.7188285844405283e-05, 'epoch': 0.7, 'step': 35500}
{'loss': 1.0873, 'learning_rate': 1.7148684236580006e-05, 'epoch': 0.71, 'step': 36000}
{'loss': 0.9844, 'learning_rate': 1.710908262875473e-05, 'epoch': 0.72, 'step': 36500}
{'loss': 1.0472, 'learning_rate': 1.706948102092945e-05, 'epoch': 0.73, 'step': 37000}
{'loss': 0.9816, 'learning_rate': 1.7029879413104172e-05, 'epoch': 0.74, 'step': 37500}
{'loss': 0.9801, 'learning_rate': 1.6990277805278898e-05, 'epoch': 0.75, 'step': 38000}
{'loss': 1.0128, 'learning_rate': 1.6950676197453617e-05, 'epoch': 0.76, 'step': 38500}
{'loss': 1.0612, 'learning_rate': 1.691107458962834e-05, 'epoch': 0.77, 'step': 39000}
{'loss': 1.0238, 'learning_rate': 1.6871472981803065e-05, 'epoch': 0.78, 'step': 39500}
{'loss': 1.0085, 'learning_rate': 1.6831871373977783e-05, 'epoch': 0.79, 'step': 40000}
{'loss': 0.9598, 'learning_rate': 1.6792269766152506e-05, 'epoch': 0.8, 'step': 40500}
{'loss': 0.9872, 'learning_rate': 1.675266815832723e-05, 'epoch': 0.81, 'step': 41000}
{'loss': 1.0327, 'learning_rate': 1.671306655050195e-05, 'epoch': 0.82, 'step': 41500}
{'loss': 1.0589, 'learning_rate': 1.6673464942676672e-05, 'epoch': 0.83, 'step': 42000}
{'loss': 0.8884, 'learning_rate': 1.6633863334851398e-05, 'epoch': 0.84, 'step': 42500}
{'loss': 0.8987, 'learning_rate': 1.659426172702612e-05, 'epoch': 0.85, 'step': 43000}
{'loss': 1.0039, 'learning_rate': 1.655466011920084e-05, 'epoch': 0.86, 'step': 43500}
{'loss': 0.9672, 'learning_rate': 1.6515058511375565e-05, 'epoch': 0.87, 'step': 44000}
{'loss': 0.9889, 'learning_rate': 1.6475456903550287e-05, 'epoch': 0.88, 'step': 44500}
{'loss': 1.008, 'learning_rate': 1.6435855295725006e-05, 'epoch': 0.89, 'step': 45000}
{'loss': 1.0918, 'learning_rate': 1.639625368789973e-05, 'epoch': 0.9, 'step': 45500}
{'loss': 0.9732, 'learning_rate': 1.6356652080074454e-05, 'epoch': 0.91, 'step': 46000}
{'loss': 0.9143, 'learning_rate': 1.6317050472249172e-05, 'epoch': 0.92, 'step': 46500}
{'loss': 0.9441, 'learning_rate': 1.6277448864423898e-05, 'epoch': 0.93, 'step': 47000}
{'loss': 0.9826, 'learning_rate': 1.623784725659862e-05, 'epoch': 0.94, 'step': 47500}
{'loss': 1.0017, 'learning_rate': 1.619824564877334e-05, 'epoch': 0.95, 'step': 48000}
{'loss': 1.0458, 'learning_rate': 1.6158644040948065e-05, 'epoch': 0.96, 'step': 48500}
{'loss': 0.9426, 'learning_rate': 1.6119042433122787e-05, 'epoch': 0.97, 'step': 49000}
{'loss': 0.9778, 'learning_rate': 1.607944082529751e-05, 'epoch': 0.98, 'step': 49500}
{'loss': 1.0585, 'learning_rate': 1.603983921747223e-05, 'epoch': 0.99, 'step': 50000}
{'loss': 1.0143, 'learning_rate': 1.6000237609646954e-05, 'epoch': 1.0, 'step': 50500}
{'eval_loss': 1.013974905014038, 'eval_accuracy': 0.7751532573684757, 'eval_precision': 0.7739018848891264, 'eval_recall': 0.7751532573684757, 'eval_f1': 0.7701484228300445, 'eval_kappa': 0.694933712523312, 'eval_runtime': 75.5237, 'eval_samples_per_second': 382.304, 'eval_steps_per_second': 191.159, 'epoch': 1.0, 'step': 50503}
{'loss': 0.9274, 'learning_rate': 1.5960636001821676e-05, 'epoch': 1.01, 'step': 51000}
{'loss': 0.9629, 'learning_rate': 1.5921034393996398e-05, 'epoch': 1.02, 'step': 51500}
{'loss': 0.884, 'learning_rate': 1.588143278617112e-05, 'epoch': 1.03, 'step': 52000}
{'loss': 0.8756, 'learning_rate': 1.5841831178345843e-05, 'epoch': 1.04, 'step': 52500}
{'loss': 0.9358, 'learning_rate': 1.5802229570520565e-05, 'epoch': 1.05, 'step': 53000}
{'loss': 0.8703, 'learning_rate': 1.5762627962695287e-05, 'epoch': 1.06, 'step': 53500}
{'loss': 0.9352, 'learning_rate': 1.572302635487001e-05, 'epoch': 1.07, 'step': 54000}
{'loss': 0.9129, 'learning_rate': 1.568342474704473e-05, 'epoch': 1.08, 'step': 54500}
{'loss': 0.8904, 'learning_rate': 1.5643823139219454e-05, 'epoch': 1.09, 'step': 55000}
{'loss': 0.8068, 'learning_rate': 1.5604221531394176e-05, 'epoch': 1.1, 'step': 55500}
{'loss': 0.8357, 'learning_rate': 1.5564619923568898e-05, 'epoch': 1.11, 'step': 56000}
{'loss': 0.9478, 'learning_rate': 1.552501831574362e-05, 'epoch': 1.12, 'step': 56500}
{'loss': 0.8811, 'learning_rate': 1.5485416707918343e-05, 'epoch': 1.13, 'step': 57000}
{'loss': 0.9865, 'learning_rate': 1.5445815100093065e-05, 'epoch': 1.14, 'step': 57500}
{'loss': 0.9492, 'learning_rate': 1.5406213492267787e-05, 'epoch': 1.15, 'step': 58000}
{'loss': 0.8644, 'learning_rate': 1.536661188444251e-05, 'epoch': 1.16, 'step': 58500}
{'loss': 0.9351, 'learning_rate': 1.532701027661723e-05, 'epoch': 1.17, 'step': 59000}
{'loss': 0.7533, 'learning_rate': 1.5287408668791954e-05, 'epoch': 1.18, 'step': 59500}
{'loss': 0.9762, 'learning_rate': 1.5247807060966678e-05, 'epoch': 1.19, 'step': 60000}
{'loss': 0.9428, 'learning_rate': 1.5208205453141398e-05, 'epoch': 1.2, 'step': 60500}
