{'loss': 1.373, 'learning_rate': 1.9920798352605737e-05, 'epoch': 0.02, 'step': 500}
{'loss': 1.1346, 'learning_rate': 1.984159670521147e-05, 'epoch': 0.04, 'step': 1000}
{'loss': 0.9891, 'learning_rate': 1.9762395057817204e-05, 'epoch': 0.06, 'step': 1500}
{'loss': 0.9483, 'learning_rate': 1.968319341042294e-05, 'epoch': 0.08, 'step': 2000}
{'loss': 0.8708, 'learning_rate': 1.9603991763028674e-05, 'epoch': 0.1, 'step': 2500}
{'loss': 0.8985, 'learning_rate': 1.9524790115634406e-05, 'epoch': 0.12, 'step': 3000}
{'loss': 0.9333, 'learning_rate': 1.944558846824014e-05, 'epoch': 0.14, 'step': 3500}
{'loss': 0.8748, 'learning_rate': 1.9366386820845877e-05, 'epoch': 0.16, 'step': 4000}
{'loss': 0.8634, 'learning_rate': 1.9287185173451612e-05, 'epoch': 0.18, 'step': 4500}
{'loss': 0.8251, 'learning_rate': 1.9207983526057344e-05, 'epoch': 0.2, 'step': 5000}
{'loss': 0.8372, 'learning_rate': 1.912878187866308e-05, 'epoch': 0.22, 'step': 5500}
{'loss': 0.8141, 'learning_rate': 1.904958023126881e-05, 'epoch': 0.24, 'step': 6000}
{'loss': 0.8488, 'learning_rate': 1.8970378583874546e-05, 'epoch': 0.26, 'step': 6500}
{'loss': 0.8155, 'learning_rate': 1.889117693648028e-05, 'epoch': 0.28, 'step': 7000}
{'loss': 0.8423, 'learning_rate': 1.8811975289086016e-05, 'epoch': 0.3, 'step': 7500}
{'loss': 0.834, 'learning_rate': 1.8732773641691748e-05, 'epoch': 0.32, 'step': 8000}
{'loss': 0.8334, 'learning_rate': 1.8653571994297483e-05, 'epoch': 0.34, 'step': 8500}
{'loss': 0.8327, 'learning_rate': 1.8574370346903215e-05, 'epoch': 0.36, 'step': 9000}
{'loss': 0.8138, 'learning_rate': 1.849516869950895e-05, 'epoch': 0.38, 'step': 9500}
{'loss': 0.8061, 'learning_rate': 1.8415967052114686e-05, 'epoch': 0.4, 'step': 10000}
{'loss': 0.7845, 'learning_rate': 1.833676540472042e-05, 'epoch': 0.42, 'step': 10500}
{'loss': 0.7913, 'learning_rate': 1.8257563757326153e-05, 'epoch': 0.44, 'step': 11000}
{'loss': 0.8228, 'learning_rate': 1.8178362109931888e-05, 'epoch': 0.46, 'step': 11500}
{'loss': 0.8064, 'learning_rate': 1.8099160462537623e-05, 'epoch': 0.48, 'step': 12000}
{'loss': 0.7928, 'learning_rate': 1.8019958815143358e-05, 'epoch': 0.5, 'step': 12500}
{'loss': 0.8022, 'learning_rate': 1.794075716774909e-05, 'epoch': 0.51, 'step': 13000}
{'loss': 0.762, 'learning_rate': 1.7861555520354825e-05, 'epoch': 0.53, 'step': 13500}
{'loss': 0.828, 'learning_rate': 1.7782353872960557e-05, 'epoch': 0.55, 'step': 14000}
{'loss': 0.8128, 'learning_rate': 1.7703152225566292e-05, 'epoch': 0.57, 'step': 14500}
{'loss': 0.8042, 'learning_rate': 1.7623950578172028e-05, 'epoch': 0.59, 'step': 15000}
{'loss': 0.7654, 'learning_rate': 1.7544748930777763e-05, 'epoch': 0.61, 'step': 15500}
{'loss': 0.7911, 'learning_rate': 1.7465547283383495e-05, 'epoch': 0.63, 'step': 16000}
{'loss': 0.7794, 'learning_rate': 1.738634563598923e-05, 'epoch': 0.65, 'step': 16500}
{'loss': 0.7997, 'learning_rate': 1.730714398859496e-05, 'epoch': 0.67, 'step': 17000}
{'loss': 0.7735, 'learning_rate': 1.7227942341200697e-05, 'epoch': 0.69, 'step': 17500}
{'loss': 0.7983, 'learning_rate': 1.7148740693806432e-05, 'epoch': 0.71, 'step': 18000}
{'loss': 0.7808, 'learning_rate': 1.7069539046412167e-05, 'epoch': 0.73, 'step': 18500}
{'loss': 0.8145, 'learning_rate': 1.69903373990179e-05, 'epoch': 0.75, 'step': 19000}
{'loss': 0.7796, 'learning_rate': 1.6911135751623634e-05, 'epoch': 0.77, 'step': 19500}
{'loss': 0.7873, 'learning_rate': 1.683193410422937e-05, 'epoch': 0.79, 'step': 20000}
{'loss': 0.8034, 'learning_rate': 1.6752732456835105e-05, 'epoch': 0.81, 'step': 20500}
{'loss': 0.7547, 'learning_rate': 1.667353080944084e-05, 'epoch': 0.83, 'step': 21000}
{'loss': 0.8026, 'learning_rate': 1.6594329162046572e-05, 'epoch': 0.85, 'step': 21500}
{'loss': 0.7788, 'learning_rate': 1.6515127514652307e-05, 'epoch': 0.87, 'step': 22000}
{'loss': 0.7725, 'learning_rate': 1.643592586725804e-05, 'epoch': 0.89, 'step': 22500}
{'loss': 0.7529, 'learning_rate': 1.6356724219863774e-05, 'epoch': 0.91, 'step': 23000}
{'loss': 0.7497, 'learning_rate': 1.627752257246951e-05, 'epoch': 0.93, 'step': 23500}
{'loss': 0.8049, 'learning_rate': 1.6198320925075244e-05, 'epoch': 0.95, 'step': 24000}
{'loss': 0.7353, 'learning_rate': 1.6119119277680976e-05, 'epoch': 0.97, 'step': 24500}
{'loss': 0.7781, 'learning_rate': 1.603991763028671e-05, 'epoch': 0.99, 'step': 25000}
{'eval_loss': 0.8251630663871765, 'eval_accuracy': 0.7871021369445502, 'eval_precision': 0.7893419739055297, 'eval_recall': 0.7871021369445502, 'eval_f1': 0.7851639781018797, 'eval_kappa': 0.7137521936385431, 'eval_runtime': 304.6875, 'eval_samples_per_second': 94.763, 'eval_steps_per_second': 23.693, 'epoch': 1.0, 'step': 25252}
{'loss': 0.7242, 'learning_rate': 1.5960715982892447e-05, 'epoch': 1.01, 'step': 25500}
{'loss': 0.6898, 'learning_rate': 1.5881514335498182e-05, 'epoch': 1.03, 'step': 26000}
{'loss': 0.696, 'learning_rate': 1.5802312688103914e-05, 'epoch': 1.05, 'step': 26500}
{'loss': 0.7086, 'learning_rate': 1.572311104070965e-05, 'epoch': 1.07, 'step': 27000}
{'loss': 0.7352, 'learning_rate': 1.564390939331538e-05, 'epoch': 1.09, 'step': 27500}
{'loss': 0.6704, 'learning_rate': 1.5564707745921116e-05, 'epoch': 1.11, 'step': 28000}
{'loss': 0.6439, 'learning_rate': 1.548550609852685e-05, 'epoch': 1.13, 'step': 28500}
{'loss': 0.7185, 'learning_rate': 1.5406304451132586e-05, 'epoch': 1.15, 'step': 29000}
{'loss': 0.7258, 'learning_rate': 1.5327102803738318e-05, 'epoch': 1.17, 'step': 29500}
