{'loss': 1.1681, 'learning_rate': 1.984675503792813e-05, 'epoch': 0.04, 'step': 500}
{'loss': 1.0507, 'learning_rate': 1.9693510075856257e-05, 'epoch': 0.08, 'step': 1000}
{'loss': 0.9874, 'learning_rate': 1.9540265113784386e-05, 'epoch': 0.11, 'step': 1500}
{'loss': 0.9545, 'learning_rate': 1.9387020151712516e-05, 'epoch': 0.15, 'step': 2000}
{'loss': 0.9395, 'learning_rate': 1.923377518964064e-05, 'epoch': 0.19, 'step': 2500}
{'loss': 0.9098, 'learning_rate': 1.908053022756877e-05, 'epoch': 0.23, 'step': 3000}
{'loss': 0.8715, 'learning_rate': 1.8927285265496897e-05, 'epoch': 0.27, 'step': 3500}
{'loss': 0.8571, 'learning_rate': 1.8774040303425026e-05, 'epoch': 0.31, 'step': 4000}
{'loss': 0.8341, 'learning_rate': 1.8620795341353156e-05, 'epoch': 0.34, 'step': 4500}
{'loss': 0.7534, 'learning_rate': 1.846755037928128e-05, 'epoch': 0.38, 'step': 5000}
{'loss': 0.7445, 'learning_rate': 1.831430541720941e-05, 'epoch': 0.42, 'step': 5500}
{'loss': 0.7082, 'learning_rate': 1.8161060455137537e-05, 'epoch': 0.46, 'step': 6000}
{'loss': 0.7021, 'learning_rate': 1.800781549306567e-05, 'epoch': 0.5, 'step': 6500}
{'loss': 0.7044, 'learning_rate': 1.7854570530993796e-05, 'epoch': 0.54, 'step': 7000}
{'loss': 0.7101, 'learning_rate': 1.7701325568921925e-05, 'epoch': 0.57, 'step': 7500}
{'loss': 0.6848, 'learning_rate': 1.754808060685005e-05, 'epoch': 0.61, 'step': 8000}
{'loss': 0.6613, 'learning_rate': 1.739483564477818e-05, 'epoch': 0.65, 'step': 8500}
{'loss': 0.6304, 'learning_rate': 1.724159068270631e-05, 'epoch': 0.69, 'step': 9000}
{'loss': 0.6099, 'learning_rate': 1.7088345720634435e-05, 'epoch': 0.73, 'step': 9500}
{'loss': 0.6253, 'learning_rate': 1.6935100758562565e-05, 'epoch': 0.77, 'step': 10000}
{'loss': 0.6203, 'learning_rate': 1.678185579649069e-05, 'epoch': 0.8, 'step': 10500}
{'loss': 0.5973, 'learning_rate': 1.662861083441882e-05, 'epoch': 0.84, 'step': 11000}
{'loss': 0.59, 'learning_rate': 1.647536587234695e-05, 'epoch': 0.88, 'step': 11500}
{'loss': 0.5748, 'learning_rate': 1.6322120910275075e-05, 'epoch': 0.92, 'step': 12000}
{'loss': 0.558, 'learning_rate': 1.6168875948203205e-05, 'epoch': 0.96, 'step': 12500}
{'loss': 0.5708, 'learning_rate': 1.601563098613133e-05, 'epoch': 1.0, 'step': 13000}
{'eval_loss': 0.5617496967315674, 'eval_accuracy': 0.7677900947613088, 'eval_precision': 0.7508942295626824, 'eval_recall': 0.7677900947613088, 'eval_f1': 0.7472475905693141, 'eval_kappa': 0.584322065775613, 'eval_runtime': 182.9167, 'eval_samples_per_second': 244.614, 'eval_steps_per_second': 30.577, 'epoch': 1.0, 'step': 13051}
{'loss': 0.5487, 'learning_rate': 1.586238602405946e-05, 'epoch': 1.03, 'step': 13500}
{'loss': 0.5267, 'learning_rate': 1.570914106198759e-05, 'epoch': 1.07, 'step': 14000}
{'loss': 0.5148, 'learning_rate': 1.555589609991572e-05, 'epoch': 1.11, 'step': 14500}
{'loss': 0.4994, 'learning_rate': 1.5402651137843845e-05, 'epoch': 1.15, 'step': 15000}
{'loss': 0.533, 'learning_rate': 1.5249406175771972e-05, 'epoch': 1.19, 'step': 15500}
{'loss': 0.5218, 'learning_rate': 1.50961612137001e-05, 'epoch': 1.23, 'step': 16000}
{'loss': 0.4806, 'learning_rate': 1.494291625162823e-05, 'epoch': 1.26, 'step': 16500}
{'loss': 0.5047, 'learning_rate': 1.4789671289556357e-05, 'epoch': 1.3, 'step': 17000}
{'loss': 0.5117, 'learning_rate': 1.4636426327484485e-05, 'epoch': 1.34, 'step': 17500}
{'loss': 0.4979, 'learning_rate': 1.4483181365412612e-05, 'epoch': 1.38, 'step': 18000}
{'loss': 0.48, 'learning_rate': 1.432993640334074e-05, 'epoch': 1.42, 'step': 18500}
{'loss': 0.4887, 'learning_rate': 1.4176691441268871e-05, 'epoch': 1.46, 'step': 19000}
{'loss': 0.4838, 'learning_rate': 1.4023446479196999e-05, 'epoch': 1.49, 'step': 19500}
{'loss': 0.4772, 'learning_rate': 1.3870201517125126e-05, 'epoch': 1.53, 'step': 20000}
{'loss': 0.4704, 'learning_rate': 1.3716956555053254e-05, 'epoch': 1.57, 'step': 20500}
{'loss': 0.4646, 'learning_rate': 1.3563711592981382e-05, 'epoch': 1.61, 'step': 21000}
{'loss': 0.4584, 'learning_rate': 1.341046663090951e-05, 'epoch': 1.65, 'step': 21500}
{'loss': 0.4477, 'learning_rate': 1.3257221668837639e-05, 'epoch': 1.69, 'step': 22000}
{'loss': 0.4554, 'learning_rate': 1.3103976706765766e-05, 'epoch': 1.72, 'step': 22500}
{'loss': 0.455, 'learning_rate': 1.2950731744693894e-05, 'epoch': 1.76, 'step': 23000}
{'loss': 0.4614, 'learning_rate': 1.2797486782622022e-05, 'epoch': 1.8, 'step': 23500}
{'loss': 0.4619, 'learning_rate': 1.264424182055015e-05, 'epoch': 1.84, 'step': 24000}
{'loss': 0.4578, 'learning_rate': 1.2490996858478279e-05, 'epoch': 1.88, 'step': 24500}
{'loss': 0.4354, 'learning_rate': 1.2337751896406406e-05, 'epoch': 1.92, 'step': 25000}
